"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.331210715040613,0.660638027375833,-0.501349757833708,0.616124992507163
"schoolTAMSA",-0.66845460757618,0.633117807645305,-1.05581394095089,0.291053227759543
"schoolTAMU",-0.384289575267627,0.446704274333067,-0.860277363231804,0.389636168003512
"schoolTSU",-0.706184278348482,0.553665729577329,-1.27547045197756,0.202142776155147
"schoolUNTB",-0.573794944976015,0.476111075270701,-1.20517033687942,0.22813755110955
"schoolUNTW",-0.386543790285865,0.492436576952798,-0.784961573483842,0.43247609884797
"schoolUTXW",1.0444833268305,0.566229395290528,1.84462928897321,0.0650914833946663
"classJR",0.357640051378491,0.444167205333283,0.80519238494912,0.420708670150347
"classSO",0.067984564522787,0.28976435379626,0.234620178887112,0.814503546185919
"classSR",15.2149084354152,546.04500935183,0.0278638357183699,0.977770752152779
"gender1",-0.50707196371067,0.243386866685677,-2.0833990371614,0.0372148659652701
"gendermissing",-1.56127778505434,0.974965425262855,-1.60136733529131,0.109295583113224
"ethnicityBlack",0.105263356835646,0.599457576893971,0.175597675119994,0.860610028958173
"ethnicityHisp",-0.25110983859427,0.469713928139274,-0.534601644854385,0.592925345985914
"ethnicityMixed",-0.276328528344114,0.565746857249358,-0.488431397900491,0.625244306717324
"ethnicityOther",0.234019233827347,0.746844442228206,0.313344011945984,0.754019315764672
"ethnicityWhite",0.641067518050837,0.485975222913742,1.31913621893564,0.187123576536935
"parentOther",-0.816651684884762,0.660842881678173,-1.23577284030195,0.216543013216196
"parentY",0.0795434013925452,0.286300871352856,0.27783150298034,0.781141706970121
"grandOther",0.101018041857865,0.34029330189932,0.296855804372408,0.766576598943107
"grandY",0.739825204293657,0.324889656398503,2.27715838200218,0.0227767693907601
"hrs_work1-10",0.176548288127392,0.519492332510646,0.339847726479724,0.733971204174336
"hrs_work11-19",0.216561799991759,0.382183185101436,0.566643977113439,0.570956090241856
"hrs_work20-29",-0.375704989471888,0.432494935450467,-0.868692228917251,0.385015493056958
"hrs_work30-39",0.0111487128809205,0.672853942133391,0.0165692911682611,0.986780223292187
"hrs_work40+",-1.57366988636258,1.27971061275606,-1.22970761567213,0.218806613943959
"must",0.201102518542399,0.0294350507146938,6.83207650945238,8.36941892098897e-12
