"","1"
"(Intercept)",-2.6963
"schoolTAMSA",0.7173
"schoolTAMU",-0.356
"schoolTSU",0
"schoolUNT",0
"schoolUTXW",0.5139
"classJR",0.0852
"classSO",0
"classSR",0
"gender0",0.0179
"gender1",0
"ethnicBlack",0
"ethnicHisp",-0.1917
"ethnicMixed",0
"ethnicOther",0
"ethnicWhite",0
"majormed",0.4304
"majorother",0
"majorstem",0
"grandN",0
"grandY",0.0294
"parentN",0
"parentY",0.5171
"emp_onY",0
"emp_offY",0
"hrs1-10",0.1055
"hrs11-19",-0.1941
"hrs20-29",-0.1314
"hrs30-39",0
"hrs40+",-1.0064
"ver87",0
"must",0.0934
"alg",0.5065
"conc",0.2604
