"","1"
"(Intercept)",51.2415
"schoolTAMSA",8.0558
"schoolTAMU",-2.9943
"schoolTSU",4.1081
"schoolUNT",0
"schoolUTXW",4.6908
"classJR",0
"classSO",-0.1159
"classSR",0
"gender0",0.528
"gender1",0
"ethnicBlack",0
"ethnicHisp",-0.3395
"ethnicMixed",1.3091
"ethnicOther",0.0082
"ethnicWhite",0
"majormed",1.5731
"majorother",-0.5057
"majorstem",0
"grandN",0
"grandY",0
"parentN",0
"parentY",3.0241
"emp_onY",0
"emp_offY",-0.0288
"hrs1-10",2.085
"hrs11-19",-1.6661
"hrs20-29",-3.3167
"hrs30-39",0
"hrs40+",-5.8337
"ver87",-0.4314
"must",0.6976
"alg",3.1034
"conc",1.5119
