"school","course","class","gender","ethnic","major","zip","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","Q1A","Q1C","Q2A","Q2C","Q3A","Q3C","Q4A","Q4C","Q5A","Q5C","Q6A","Q6C","comm","pass","alg","conc"
"ACUP",95.4,"FR","0","Hisp","med","76","Y","Y","N","N","11-19","78",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,17,1,1,1,1,1,1,1,0,1,1,1,1,11,1,6,5
"ACUP",82.9,"FR","0","White","med","77","N","Y","N","N","0","87",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,9,1,4,5
"ACUP",96,"FR","1","White","med","79","N","Y","N","N","0","87",0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6
"ACUP",73,"JR","1","Other","stem","75","DK","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,14,1,1,1,1,1,1,1,0,0,1,1,1,10,1,5,5
"ACUP",85.7,"FR","0","White","med","75","N","Y","N","N","0","87",1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13,1,1,0,1,1,0,1,0,1,1,1,0,8,1,5,3
"ACUP",94.6,"FR","0","White","stem","77","Y","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,1,1,1,1,0,1,1,1,1,1,1,1,11,1,5,6
"ACUP",94.7,"FR","0","White","med","78","DK","Y","N","N","0","87",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4
"ACUP",92.7,"FR","0","White","med","79","Y","Y","N","N","0","87",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",59.3,"SO","1","White","stem","76","Y","Y","N","Y","11-19","78",0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,9,0,1,1,0,1,0,0,0,0,0,0,1,4,0,2,2
"ACUP",73.4,"SO","0","Hisp","med","76","N","N","N","N","0","78",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,1,1,0,1,0,1,0,1,0,0,1,7,1,5,2
"ACUP",98.3,"FR","1","Asian","med","75","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6
"ACUP",72.5,"SO","1","Hisp","stem","79","N","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,17,0,1,0,1,0,0,1,0,0,1,0,0,4,1,1,3
"ACUP",70.2,"SO","1","White","stem","77","N","N","N","N","0","78",0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,5,0,1,1,0,1,0,1,1,0,1,1,0,7,1,4,3
"ACUP",89.5,"FR","0","Hisp","stem","79","N","N","N","N","0","87",1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",81.2,"SO","0","White","med","79","Y","Y","N","N","0","78",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,11,1,0,1,0,1,0,0,0,1,1,1,0,6,1,5,1
"ACUP",73.5,"FR","1","White","other","79","Y","Y","N","N","0","78",1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,14,1,1,1,1,1,1,1,1,0,0,1,1,10,1,5,5
"ACUP",65.3,"JR","1","Hisp","stem","78","Y","Y","N","N","1-10","78",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,0,0,1,0,0,0,1,0,1,6,0,2,4
"ACUP",64.1,"SO","0","Black","med","75","Y","Y","N","Y","20-29","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1,0,1,1,1,0,7,0,4,3
"ACUP",66.9,"FR","1","White","stem","79","N","N","N","N","0","87",0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,11,1,1,0,1,0,0,1,0,1,1,1,1,8,0,4,4
"ACUP",91.5,"FR","0","White","med","76","Y","Y","N","N","0","78",1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,13,1,1,1,1,1,0,0,1,1,1,1,1,10,1,5,5
"ACUP",89.4,"SR","1","Hisp","stem","88","Y","Y","N","Y","11-19","78",0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10,1,6,4
"ACUP",83.4,"FR","0","Black","med","76","Y","Y","N","N","0","87",1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11,1,0,0,1,0,0,1,0,1,1,1,1,7,1,4,3
"ACUP",86.6,"FR","0","Hisp","med","75","N","Y","N","N","0","78",1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",93.9,"FR","0","White","med","78","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18,1,0,1,1,1,0,1,1,1,1,1,1,10,1,6,4
"ACUP",80.9,"SO","1","Hisp","med","79","N","N","N","Y","20-29","87",1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,10,1,1,1,1,1,0,1,1,0,1,1,0,9,1,5,4
"ACUP",55.8,"SO","1","White","stem","78","N","Y","N","N","0","78",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,6,1,1,1,1,1,0,1,0,0,0,1,1,8,0,5,3
"ACUP",90.1,"SR","0","White","dual","75","Y","Y","N","N","0","87",1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5
"ACUP",60.2,"SO","0","Hisp","med","78","Y","Y","N","N","0","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,5,0,2,3
"ACUP",76,"SO","1","White","stem","76","Y","Y","Y","Y","11-19","87",0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,11,1,1,1,1,1,0,1,0,0,1,1,1,9,1,5,4
"ACUP",91.6,"FR","0","White","med","79","Y","Y","N","N","0","87",0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11,1,0,1,1,1,0,1,1,0,1,1,1,9,1,5,4
"ACUP",93.8,"FR","0","White","med","77","DK","Y","N","N","0","78",0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11,1,1,1,1,1,1,1,0,1,1,1,0,10,1,6,4
"ACUP",92.4,"FR","0","Hisp","med","76","N","Y","N","N","0","87",1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6
"ACUP",72.4,"SO","0","White","med","87","Y","Y","N","N","0","87",0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,0,1,0,1,0,0,0,1,1,7,1,5,2
"ACUP",83.2,"FR","0","Asian","med","79","N","N","N","N","11-19","87",1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,8,1,0,0,1,1,1,1,0,1,1,1,0,8,1,5,3
"ACUP",54.5,"SR","0","Hisp","other","84","N","N","N","N","0","78",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,1,0,0,0,0,0,1,1,1,5,0,2,3
"ACUP",89.3,"SR","1","White","stem","75","N","Y","N","Y","1-10","78",0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,9,0,1,1,1,1,1,1,1,1,1,1,1,11,1,5,6
"ACUP",91.9,"SR","1","White","other","76","Y","Y","N","Y","11-19","87",1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,9,1,1,1,1,1,0,1,0,1,1,1,1,10,1,6,4
"ACUP",75.2,"FR","1","White","stem","78","DK","Y","N","N","0","78",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,6,0,1,1,1,1,0,0,0,0,0,1,1,6,1,3,3
"ACUP",78.6,"FR","1","White","stem","76","N","N","N","N","0","87",1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,9,0,0,0,1,1,0,1,0,1,1,0,1,6,1,3,3
"ACUP",90.8,"SO","1","White","med","76","DK","Y","N","N","0","78",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,9,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4
"ACUP",85.2,"FR","0","Black","med","78","N","Y","N","N","0","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,8,1,6,2
"ACUP",91.3,"SO","1","White","stem","77","DK","Y","N","N","0","87",1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,8,1,1,1,0,1,1,1,1,1,1,1,1,11,1,6,5
"ACUP",78.8,"FR","1","White","med","75","N","Y","N","N","0","78",0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,15,1,1,1,1,1,0,1,0,1,1,1,0,9,1,6,3
"ACUP",63.6,"FR","1","Hisp","med","78","N","N","N","N","0","78",1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,13,1,1,0,0,1,1,1,0,0,1,0,1,7,0,3,4
"ACUP",76.1,"SO","1","Hisp","stem","79","Y","Y","N","Y","11-19","78",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0,0,1,1,1,1,1,1,1,1,1,1,10,1,5,5
