school,course,class,gender,ethnic,major,zip,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1c,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI001,95.4,FR,0,Hisp,b,76,Y,Y,N,N,11-19,78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,17,1,1,1,1,1,1,1,0,1,1,1,1,11
ACUPF17CHI002,82.9,FR,0,White,b,77,N,Y,N,N,0,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,9
ACUPF17CHI003,96.0,FR,1,White,b,79,N,Y,N,N,0,87,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12
ACUPF17CHI004,73.0,JR,1,Am In,a. Eng,75,DK,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,14,1,1,1,1,1,1,1,0,0,1,1,1,10
ACUPF17CHI005,85.7,FR,0,White,b,75,N,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13,1,1,0,1,1,0,1,0,1,1,1,0,8
ACUPF17CHI006,94.6,FR,0,White,a. Sci,77,Y,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,1,1,1,1,0,1,1,1,1,1,1,1,11
ACUPF17CHI007,94.7,FR,0,White,b,78,DK,Y,N,N,0,87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI008,92.7,FR,0,White,b,79,Y,Y,N,N,0,87,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI009,59.3,SO,1,White,a. Eng,76,Y,Y,N,Y,11-19,78,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,9,0,1,1,0,1,0,0,0,0,0,0,1,4
ACUPF17CHI010,73.4,SO,0,Hisp,b,76,N,N,N,N,0,78,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,1,1,0,1,0,1,0,1,0,0,1,7
