"","1"
"(Intercept)",-0.2423
"schoolTAMSA",-0.0888
"schoolTAMU",0
"schoolTSU",-0.4305
"schoolUNT",0
"schoolUTXW",1.1751
"classJR",0.5509
"classSO",0.0288
"classSR",0.5858
"gender0",0.0803
"gender1",0
"ethnicBlack",0
"ethnicHispanic",-0.5503
"ethnicMixed",0
"ethnicOther",-0.4894
"ethnicWhite",0.0914
"majormed",0.2466
"majorother",0
"majorstem",0
"grandN",-0.1386
"grandY",0.2993
"parentN",-0.2292
"parentY",0
"emp_onY",-0.0295
"emp_offY",-0.1171
"hrs1-10",0.4302
"hrs11-19",0
"hrs20-29",-0.487
"hrs30-39",0
"hrs40+",-3.0628
"ver87",0
"must",0.1762
