"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",66.143168014815,6.52811758031964,10.1320429972366,1.40777679088336e-22
"schoolTAMSA",-4.38084329309875,2.74882501467992,-1.59371486715347,0.111460524779477
"schoolTAMU",-2.5511809163681,1.43746403559216,-1.77477895321197,0.0763777840374289
"schoolTSU",-2.92516390334958,2.1937231467033,-1.33342436931729,0.18283517263397
"schoolUNT",-1.46133768027463,1.59255360657039,-0.917606587461544,0.359147357254158
"schoolUTXW",4.11429510176892,1.6973026530989,2.42401971991096,0.0156072663608885
"classJR",2.2380997458793,1.76332140230938,1.26925230020353,0.204781538295124
"classSO",0.694313653625572,1.07963404820651,0.643100923668505,0.520373514282904
"classSR",5.5568797626584,2.6927484302388,2.06364608749047,0.0394268751640723
"gender0",4.83811360636279,4.69843120053781,1.02972958416609,0.303499880455844
"gender1",3.87397485390178,4.72727134607347,0.819494920070444,0.412788716446746
"ethnicBlack",-5.05892436412789,2.1154592779113,-2.39140711284351,0.0170523718530702
"ethnicHispanic",-4.46717424204955,1.54595010117968,-2.88959794927452,0.00397909839407721
"ethnicMixed",-1.18308965263669,1.8997369985936,-0.622764968789125,0.533645943673998
"ethnicOther",-3.46818713894714,2.39416321424721,-1.44860096350517,0.147905967139645
"ethnicWhite",-1.14075270070105,1.52401657496826,-0.748517253314528,0.454404771334957
"majormed",5.32202394548672,2.53570823933417,2.09883134933702,0.0361967316940826
"majorother",2.59300655175442,2.82157166335276,0.918993689025517,0.35842188490399
"majorstem",2.96881244158065,2.53900946688757,1.16927978422229,0.242697045971485
"grandN",-1.686727306103,1.3424011624797,-1.25650018284196,0.209362375736277
"grandY",-0.745629419598502,1.31363085320458,-0.567609551632827,0.570485828187515
"parentN",-2.74097603719316,3.27224784335094,-0.837643164090613,0.40252287583461
"parentY",-0.354341084138547,3.16523065890442,-0.111947950188627,0.910897424388136
"emp_onY",-1.68342706968105,2.40083077599976,-0.701185225760044,0.483425209005067
"emp_offY",-1.70543185655252,2.35369516744078,-0.724576351323722,0.468959021453374
"hrs1-10",2.58750921905295,2.69261394864768,0.960965540697912,0.336908078184517
"hrs11-19",-1.13454317461243,2.47843052471537,-0.457766785592153,0.647264953461636
"hrs20-29",-5.71608882408891,2.82678211183398,-2.02211864867802,0.0435517262997922
"hrs30-39",-3.69914420730956,4.12886612454234,-0.895922535565281,0.370608404631737
"hrs40+",-15.410012556735,4.65784339485621,-3.30840074480664,0.000987311724038717
"ver87",-0.187819999853248,0.787391673255385,-0.238534399375506,0.811537874798652
"must",1.11764438097169,0.0940844543804883,11.8791609977542,9.9716160731449e-30
