"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",63.9324734215238,6.63031015179313,9.64245592707811,1.07946661825882e-20
"schoolTAMSA",-5.33117393418634,2.76720112030312,-1.92655817283073,0.05445674464764
"schoolTAMU",-2.98800626306873,1.45493953038081,-2.05369790336693,0.0403919367539687
"schoolTSU",-2.74719842685149,2.202870481457,-1.24709938690288,0.212796168728884
"schoolUNT",-2.10336826669783,1.59704577849247,-1.31703692844879,0.188275837964489
"schoolUTXW",3.56615020317469,1.70642309305047,2.08983939428509,0.0370081699090721
"classJR",2.78110316076585,1.76322955605214,1.5772779847184,0.115202878991477
"classSO",0.604635680589445,1.0833926378295,0.558094692059927,0.576965883515387
"classSR",5.38657849873893,2.71847153469943,1.98147320285791,0.0479459566426038
"gender0",6.03783923355333,4.72970341464914,1.27657882624364,0.202192609582747
"gender1",5.41564651873093,4.76959344471732,1.13545244086352,0.256591203776111
"ethnicBlack",-4.6004002237708,2.12368565425214,-2.16623407261788,0.0306447053440847
"ethnicHispanic",-4.490838968948,1.54778604258375,-2.90145979185298,0.0038359767915784
"ethnicMixed",-0.729157686526759,1.9082834503857,-0.382101352070828,0.702507172502408
"ethnicOther",-2.46696981361496,2.42613565828509,-1.01683094479504,0.309600349668831
"ethnicWhite",-0.932835153182842,1.53615022650079,-0.607255161044864,0.543887022859934
"majormed",5.69324178850598,2.58268014172864,2.20439290817305,0.027835409264181
"majorother",2.85923467191061,2.87004065202775,0.996234903463997,0.319495142573772
"majorstem",3.24029956110298,2.58332479748372,1.25431365202672,0.210164783988191
"grandN",-1.33403629474356,1.35927195191939,-0.981434431027434,0.326732280293206
"grandY",-0.389800198496209,1.33402855789063,-0.292197791561946,0.770225721262325
"parentN",-1.3370868305672,3.28239113869347,-0.407351462415723,0.683879790571363
"parentY",0.790367434059606,3.18430583269311,0.248207136998257,0.804050084986945
"emp_onY",-2.06649991597049,2.40795268731825,-0.858197890205212,0.391089641733897
"emp_offY",-1.39733110943232,2.37915112529964,-0.587323392185241,0.557184106206143
"hrs1-10",2.61870218409863,2.70511605744982,0.968055391518893,0.333365495908108
"hrs11-19",-1.40466340408499,2.49158436945633,-0.563763130522244,0.573103707812044
"hrs20-29",-5.175525577023,2.85786105595062,-1.81097872699114,0.0705912216008324
"hrs30-39",-3.87089463181409,4.16714875505923,-0.928907235940292,0.353271195452793
"hrs40+",-16.5880795516572,4.67195019630986,-3.55056857514433,0.000411268945822065
"ver87",0.175526174886115,0.804490460570379,0.218183040681014,0.827352835184689
"MQ11",1.05201945950203,0.877388895936219,1.19903438985226,0.230937829950589
"MQ21",0.852923260723128,1.08997712384904,0.782514827202239,0.434188135575575
"MQ31",0.694205559142156,1.1965840148416,0.580156136578552,0.562004091231
"MQ41",0.250568978892256,0.86890309395227,0.288373905716602,0.773149595628273
"MQ51",0.599682999825845,0.966051450787254,0.620756792339737,0.534970444537819
"MQ71",1.01467207005155,0.986490349476972,1.02856765967302,0.304053502093329
"MQ81",-0.0806240558127893,0.992647873979984,-0.0812212043426136,0.93529025629195
"MQ91",1.12329998232846,1.00110493801093,1.12206017539012,0.262238210514936
"MQ101",0.689143584875311,0.991911044611714,0.694763495798233,0.487444024813959
"MQ111",4.21120741789015,0.911346128441344,4.62086498912602,4.58306029546412e-06
"MQ121",1.22045966628822,1.3567847201378,0.899523445520725,0.368696606661472
"MQ131",0.0852907633169216,1.42922582833656,0.0596761978589411,0.952431297684855
"MQ141",0.920409221605017,0.974447422210777,0.944544775455241,0.345231311570371
"MQ151",3.33414103186478,0.993501225020804,3.35595059965323,0.000835518155477397
"MQ191",4.86536348375452,1.09417554886526,4.44660227401374,1.02081066218021e-05
"MQ201",-0.606564794420028,1.0320894617808,-0.587705636848029,0.556927614192442
