"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",64.5948134979428,6.53846473907869,9.87920193434347,1.33110053588207e-21
"schoolTAMSA",-3.92374893697432,2.74343894808163,-1.4302300912211,0.15310895884063
"schoolTAMU",-2.83169334232472,1.43669670776573,-1.97097503392238,0.0491306703346731
"schoolTSU",-2.63983280455063,2.19018228683417,-1.20530278252155,0.22850447107128
"schoolUNT",-1.44290695002661,1.58536876564592,-0.910139635202624,0.363070418297337
"schoolUTXW",3.70875557018561,1.70045595648014,2.18103594865377,0.0295216589811805
"classJR",2.31704201221547,1.75446424969699,1.32065501626245,0.187059406957665
"classSO",0.811984547311091,1.07463685241846,0.755589709662129,0.450156103272761
"classSR",6.02020797297709,2.69937400891742,2.23022373079434,0.0260572146807732
"gender0",4.8091377807525,4.69239544616959,1.02487904864843,0.305783635472422
"gender1",3.89720215793582,4.72611539067737,0.824610030813754,0.409881331812526
"ethnicBlack",-4.74574459823675,2.11794637516879,-2.24072934701123,0.0253647151617604
"ethnicHispanic",-4.44979065973341,1.54097540216075,-2.88764548317509,0.00400429815433004
"ethnicMixed",-1.24826115032796,1.90211833135016,-0.656247894652234,0.51188598132955
"ethnicOther",-3.22060912651172,2.39493153281987,-1.34476041689579,0.179149659736794
"ethnicWhite",-1.27084133138159,1.52445433546192,-0.83363686390548,0.404777512448367
"majormed",5.85290936673847,2.53453620765487,2.30926247928965,0.0212269550755575
"majorother",2.95183162397598,2.81745284945377,1.04769512808289,0.295150241584073
"majorstem",3.54259524257178,2.53654185051013,1.39662400675917,0.162980992546608
"grandN",-1.69002480347336,1.3410246762011,-1.26024884811286,0.208010634005623
"grandY",-0.669993309052165,1.31091016413427,-0.511090177941087,0.609453322739586
"parentN",-2.14046664678552,3.2756996315385,-0.653438009449055,0.513694176073371
"parentY",0.302400793731334,3.164792843945,0.0955515285336601,0.923904831998746
"emp_onY",-2.02404494278376,2.39750720384731,-0.844228930589131,0.398837521987565
"emp_offY",-1.63411086973341,2.35645638349759,-0.693461114399224,0.488256321074303
"hrs1-10",2.56984748387864,2.68831275153901,0.955933227042666,0.339444687218207
"hrs11-19",-1.19428089271039,2.48151305339518,-0.481271251455394,0.630478099039438
"hrs20-29",-5.12687469122326,2.82426667439803,-1.81529412137259,0.0699178024515166
"hrs30-39",-3.68287314376733,4.11801519680672,-0.894332091494754,0.37145973386448
"hrs40+",-15.5722958350482,4.64815556247819,-3.3502096962404,0.000851994061470927
"ver87",-0.239251193443519,0.784071007256997,-0.305139701926383,0.760352855353822
"mult",0.819127137216282,0.442166765314463,1.85252986310206,0.0643816283475264
"div",0.511200815259472,0.334789144377965,1.52693366509621,0.127241122186267
"frac",1.11106429647754,0.38023810082124,2.92202252766847,0.00359269752605
"log_exp",1.11433583436332,0.340066333525962,3.2768190335379,0.00110303549527794
"symb",2.48759505648197,0.452816907461746,5.49360020681675,5.56462498553651e-08
