"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.0171202092482,1.61988542004348,-0.62789639110456,0.530071815299248
"schoolTAMSA",-0.607729143252866,0.672806618304793,-0.903274621144637,0.366380162452374
"schoolTAMU",-0.411677240103929,0.449361334390297,-0.91613854730626,0.359594232145301
"schoolTSU",-0.906761072413337,0.558359850361718,-1.62397255430511,0.104381666221639
"schoolUNT",-0.249837648881602,0.456168885747912,-0.547686737713336,0.583907020096308
"schoolUTXW",1.31069107523374,0.584302693129997,2.24317137443371,0.0248857654726701
"classJR",1.33217222897889,0.548305667719829,2.42961601057095,0.0151148268572472
"classSO",0.434715975750824,0.292175701027615,1.48785807382982,0.136788326503729
"classSR",1.58711601466937,1.11443708763968,1.42414141836467,0.15440553882383
"gender0",0.727976923298503,1.01421967727534,0.717770459013559,0.47289883081957
"gender1",0.479546626944827,1.02759862850396,0.466667250853556,0.640737963777821
"ethnicBlack",-0.86878191485705,0.651443395195747,-1.3336261005394,0.182326424651658
"ethnicHispanic",-1.11580299104196,0.522575541374243,-2.13519941654307,0.032744724557292
"ethnicMixed",-0.585153097991885,0.612275669353498,-0.955702026523034,0.33922279838305
"ethnicOther",-1.37508920658395,0.71502733756225,-1.92312815796953,0.0544639568553239
"ethnicWhite",-0.370780635284515,0.539377334715694,-0.687423462982467,0.491815916299003
"majormed",1.14195752307638,0.615336884970682,1.85582491634771,0.0634785178680471
"majorother",0.657532440193981,0.69761731042797,0.942540315965786,0.345916080348797
"majorstem",0.817503287691584,0.610298153211665,1.33951460182128,0.180403204111094
"grandN",-0.183758615215127,0.37076359848014,-0.495622051270412,0.620161091870442
"grandY",0.356254930460361,0.382895001303993,0.930424605301962,0.352151283792316
"parentN",-0.484189159611893,0.907428558000634,-0.533583779508463,0.593629533037469
"parentY",-0.105286934723907,0.871422007763283,-0.120821982674217,0.90383203800136
"emp_onY",-0.569586608192103,0.607636970005553,-0.937379778236498,0.348563239001387
"emp_offY",-0.534970152003269,0.606062031788245,-0.882698674300363,0.377399098612842
"hrs1-10",1.25939152314137,0.811483079052374,1.55196276503023,0.120671133248797
"hrs11-19",0.226637127935211,0.659998037843317,0.343390608668771,0.731304623697925
"hrs20-29",-0.43523515330046,0.702263032258625,-0.619760877773464,0.535415229010305
"hrs30-39",-0.25533948445725,1.03170071575049,-0.24749375527137,0.804526123780941
"hrs40+",-16.2452754079469,528.25975169594,-0.0307524382764211,0.975466971218301
"ver87",0.207954808234557,0.229748745857736,0.905140123651976,0.365391157962452
"must",0.201165918616722,0.0300092441853837,6.70346501811273,2.03534438109139e-11
