"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.61498117917751,1.74735554805717,-0.924243025967529,0.355359798801407
"schoolTAMSA",-0.700761879533853,0.702415198109353,-0.997646237467597,0.318450931678037
"schoolTAMU",-0.428521495213959,0.460262204125072,-0.931037767979559,0.351834027907926
"schoolTSU",-0.843485402912952,0.58471765131044,-1.44255163329271,0.149146816585128
"schoolUNT",-0.336185477106455,0.47397087769795,-0.709295640144157,0.478141033414973
"schoolUTXW",1.4188104892022,0.599394258940958,2.36707387172682,0.017929353727975
"classJR",1.44015041213633,0.563217265710937,2.55700686007639,0.0105577135418507
"classSO",0.474063747853416,0.308009856345468,1.53911875898445,0.123775306189234
"classSR",2.01023542802157,1.16818407215238,1.72082078153806,0.0852833501547956
"gender0",0.898413426424577,1.10346619209913,0.814173948288817,0.415545307555058
"gender1",0.720506293862397,1.12323281815792,0.641457658835158,0.521225381857897
"ethnicBlack",-0.855031993690292,0.667626200231714,-1.2807046718561,0.200297418194198
"ethnicHispanic",-1.15461043896283,0.539568311158187,-2.13987814904187,0.0323646154266512
"ethnicMixed",-0.665765992170573,0.628284395973718,-1.05965705409374,0.28930064724502
"ethnicOther",-1.20749985603196,0.747064191069479,-1.616326776824,0.106023680436326
"ethnicWhite",-0.398145700021439,0.552990326562173,-0.719986735566657,0.471533162542549
"majormed",1.48135929406076,0.673477316353354,2.1995682082981,0.0278375448511526
"majorother",0.939622985937349,0.755694379081671,1.24339020104819,0.21372407943319
"majorstem",1.17121803276509,0.666536743756923,1.757169494008,0.0788889233230377
"grandN",-0.0489426511844623,0.382493094112147,-0.12795695383225,0.898183038795792
"grandY",0.562788574420626,0.39760042810796,1.41546269730829,0.156932878069406
"parentN",-0.442296250111775,0.955211678349113,-0.463034801748021,0.643339421846666
"parentY",-0.0670736612333359,0.922090220391125,-0.0727408877678858,0.942012310979592
"emp_onY",-0.728749364792013,0.622427217013814,-1.17081860315861,0.241671698502633
"emp_offY",-0.603259014785531,0.609265293039744,-0.990141768581225,0.32210483013776
"hrs1-10",1.4158738233486,0.837903730599079,1.6897810233358,0.0910698556077068
"hrs11-19",0.251476543888673,0.661323178124662,0.380262709983633,0.703750413228437
"hrs20-29",-0.368819243281655,0.718404384179702,-0.513386682213507,0.607680859629903
"hrs30-39",-0.248917315569612,1.08206678219044,-0.230038773638099,0.818061640516825
"hrs40+",-17.8507128249121,807.152127617725,-0.0221156733831549,0.982355683982222
"ver87",0.256356466860794,0.244321191896028,1.04926005342135,0.294058445920498
"MQ11",0.381578837358603,0.243146252165439,1.5693387578887,0.116569025853158
"MQ21",0.433149170667869,0.323152181959863,1.34038757851144,0.180119371954589
"MQ31",0.0416026198180829,0.341595238317678,0.121789226404243,0.903065946515848
"MQ41",-0.21128763348588,0.261475059082887,-0.808060371903013,0.419055828788626
"MQ51",-0.0742400054229588,0.261690946343578,-0.283693442437584,0.77664532053556
"MQ71",0.360282013034605,0.32671696165231,1.102734339878,0.27014254946511
"MQ81",-0.215449803131708,0.313958189732642,-0.686237244886585,0.492563514824652
"MQ91",0.139811749890732,0.28171629852729,0.496285627141976,0.619692905368033
"MQ101",0.43782464732828,0.278459274843749,1.57231123859658,0.115878387901262
"MQ111",0.815974345738407,0.279573856307449,2.91863608606191,0.00351566383554574
"MQ121",0.92863158562678,0.4639382946688,2.00162736359093,0.045324823767325
"MQ131",-0.575080832539243,0.484579379560799,-1.18676290571933,0.235321154294212
"MQ141",0.209280643149111,0.297267332815921,0.70401493889914,0.481423470358148
"MQ151",0.549396737462468,0.33282213684599,1.65072174185546,0.0987954061894896
"MQ191",0.71275660972307,0.302587507269202,2.35553878663257,0.0184958660169441
"MQ201",-0.0735248036408629,0.312098188960029,-0.235582282248614,0.813756823256014
