"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.29598845808271,1.66178060382686,-0.779879398699335,0.435461865649013
"schoolTAMSA",-0.516040954537708,0.68977761054961,-0.748126565207778,0.454383819839305
"schoolTAMU",-0.480074876857783,0.45487881389857,-1.05539071548149,0.29124666740851
"schoolTSU",-0.921302499611236,0.574927790283803,-1.60246645784239,0.109052499052101
"schoolUNT",-0.275240967983532,0.462621735783554,-0.594959005800601,0.551870873612653
"schoolUTXW",1.23399822764229,0.591921141808925,2.08473416555313,0.0370934375595197
"classJR",1.39832578582983,0.557988204055374,2.50601316598991,0.0122101073148336
"classSO",0.476805023028374,0.298920240070899,1.59509112837352,0.110691859073005
"classSR",1.81051096945984,1.13468888620746,1.59560121850776,0.110577855316293
"gender0",0.722432055294844,1.04049692906313,0.694314452177505,0.487485029609296
"gender1",0.47394687094689,1.05672975944339,0.448503381977747,0.653789945942787
"ethnicBlack",-0.924333489995411,0.661282735222041,-1.39778863224827,0.162176549028456
"ethnicHispanic",-1.18796235623,0.529761966731765,-2.24244553371552,0.0249325917463739
"ethnicMixed",-0.79684003822631,0.62008288285832,-1.28505407946953,0.198773386787489
"ethnicOther",-1.39176255433646,0.727847534228266,-1.91216221651715,0.0558553907133741
"ethnicWhite",-0.48079718918026,0.547580269378643,-0.878039652023686,0.379922200687342
"majormed",1.13320194834256,0.632464205189967,1.79172503209441,0.0731770227086132
"majorother",0.549598222234306,0.713686440551275,0.770083598351369,0.4412503046163
"majorstem",0.845097421986654,0.625459170991523,1.35116321125637,0.176643156383412
"grandN",-0.138998664271149,0.3716957444149,-0.373958180473526,0.708435429682322
"grandY",0.459167058931036,0.387657985873189,1.18446433625448,0.236229305729942
"parentN",-0.452620160283918,0.93244743690764,-0.485410911509375,0.627384893795429
"parentY",-0.028902434127942,0.897661125211949,-0.0321974889144473,0.974314558698437
"emp_onY",-0.645037510211023,0.604702315355251,-1.06670256394186,0.286106168981326
"emp_offY",-0.558665653622311,0.596714100807946,-0.93623672185035,0.349151320055958
"hrs1-10",1.31144853944953,0.814318677831841,1.61048564296882,0.107291877248387
"hrs11-19",0.263505981103968,0.64673954670599,0.407437557276451,0.68368664725112
"hrs20-29",-0.319966664554006,0.695407338128765,-0.460114018087568,0.645434382677759
"hrs30-39",-0.216745414492046,1.04897758035324,-0.206625402250312,0.836302420226042
"hrs40+",-16.7122526864066,498.549465299494,-0.0335217543085059,0.973258518149553
"ver87",0.204598351650263,0.233468673431471,0.87634177486479,0.380844261211161
"mult",0.285866209162336,0.125872673777801,2.27107441657247,0.0231424734238652
"div",-0.102448935996553,0.103668925013321,-0.988231873566628,0.323039101481484
"frac",0.382238447274575,0.109397379373003,3.49403659818293,0.000475775790902144
"log_exp",0.204179433974834,0.107461374602717,1.90002626273562,0.0574296732163991
"symb",0.395228978229143,0.126145747609918,3.13311376497061,0.00172962388672494
