school,course,class,gender,ethnic,major,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1C,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI010,73.39,SO,0,Hispanic,b,N,N,N,N,0,78,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,1,1,0,1,0,1,0,1,0,0,1,7
ACUPF17CHI014,89.53,FR,0,Hispanic,a. Sci,N,N,N,N,0,87,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI035,54.53,SR,0,Hispanic,,N,N,N,N,0,78,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,1,0,0,1,0,0,0,0,0,1,1,1,5
ACUPF17CHI049,70,FR,0,White,a. Sci,N,N,N,N,0,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,3
ACUPF17CHI093,81.89,SR,0,Black,b,N,N,N,N,0,87,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,1,1,0,1,0,1,1,1,1,10
UTXWF17CHI005,91.2,FR,0,Mixed,b,N,N,N,N,0,78,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,16,1,1,1,1,1,1,1,0,0,1,1,1,10
UTXWF17CHI011,89.7,FR,0,Mixed,b,N,N,N,N,0,78,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,8,1,1,0,1,1,0,1,1,1,1,1,0,9
UTXWF17CHI012,87.5,FR,0,Black,b,N,N,N,N,0,78,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,12,,,,,,,,,,,,,
UTXWF17CHI014,96.9,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,12,1,1,1,1,1,1,1,1,0,1,1,1,11
UTXWF17CHI026,96.2,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,16,1,1,0,1,1,1,1,0,0,1,1,1,9
UTXWF17CHI028,85,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,15,1,0,0,0,0,0,0,0,0,1,1,1,4
UTXWF17CHI033,82.1,FR,0,Hispanic,b,N,N,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,18,1,1,1,0,0,0,0,0,1,0,1,0,5
UTXWF17CHI036,80.8,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,12,0,1,0,0,0,0,0,1,0,1,0,0,3
UTXWF17CHI039,81.3,FR,0,Asian,b,N,N,N,N,0,87,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,13,1,1,0,1,0,0,1,1,1,1,1,1,9
UTXWF17CHI050,81.6,FR,0,Hispanic,b,N,N,N,N,0,78,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,12,1,0,1,1,0,0,1,0,0,0,0,1,5
UTXWF17CHI063,77.7,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,11,1,1,1,1,0,0,1,1,1,1,1,1,10
UTXWF17CHI067,95.4,FR,0,Asian,b,N,N,N,N,0,87,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,10,1,1,1,0,0,1,1,1,0,1,1,1,9
UTXWF17CHI074,90.4,FR,0,Hispanic,b,N,N,N,N,0,78,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,12,1,1,0,1,0,1,1,1,1,1,1,1,10
UTXWF17CHI079,71.9,FR,0,Hispanic,b,N,N,N,N,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,1,1,1,1,0,1,0,1,1,1,1,10
UTXWF17CHI082,84.1,FR,0,White,a. Sci,N,N,N,N,0,78,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,7,1,1,0,1,0,1,1,0,1,1,1,1,9
UTXWF17CHI090,75.3,FR,0,White,a. Sci,N,N,N,N,0,87,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,16,1,1,1,0,1,1,1,0,0,1,1,1,9
UTXWF17CHI095,97.6,FR,0,Asian,b,N,N,N,N,0,87,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,11,1,1,1,1,1,1,1,0,1,1,1,1,11
UTXWF17CHI096,96,FR,0,Asian,a. Sci,N,N,N,N,0,87,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,15,1,1,1,0,0,1,1,1,1,1,1,1,10
UTXWF17CHI097,78.4,FR,0,Hispanic,a. Sci,N,N,N,N,0,78,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,1,1,1,0,1,1,1,1,1,1,1,1,11
UTXWF17CHI106,87.1,SO,0,Hispanic,b,N,N,N,N,0,87,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11,0,1,1,1,1,1,1,0,0,0,1,1,8
UTXWF17CHI117,80.9,FR,0,Asian,b,N,N,N,N,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,10
UTXWF17CHI119,85.5,FR,0,White,b,N,N,N,N,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,1,1,1,1,1,0,1,1,1,1,1,1,11
UTXWF17CHI122,60,FR,0,Asian,a. Eng,N,N,N,N,0,78,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,10,1,1,1,0,1,1,1,0,1,1,1,1,10
UTXWF17CHI127,92.5,FR,0,Hispanic,b,N,N,N,N,0,78,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9,1,1,1,1,1,1,1,0,0,1,1,0,9
UTXWF17CHI130,74.5,FR,0,Hispanic,b,N,N,N,N,0,78,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,10,1,1,1,1,1,1,1,1,0,1,1,1,11
UTXWF17CHI131,90.2,FR,0,Hispanic,b,N,N,N,N,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,1,1,1,1,1,8
UTXWF17CHI143,76,FR,0,Hispanic,b,N,N,N,N,0,87,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,6,1,1,0,1,0,1,1,1,1,1,1,1,10
UTXWF17CHI145,91.3,FR,0,White,a. Sci,N,N,N,N,0,78,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,12,1,1,1,1,0,1,1,0,1,1,1,1,10
UTXWF17CHI147,84.3,FR,0,Hispanic,b,N,N,N,N,0,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,5,1,1,1,1,1,1,0,1,1,1,1,1,11
UTXWF17CHI150,86.6,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,14,1,1,1,1,1,1,1,1,1,1,1,1,12
UTXWF17CHI158,104,FR,0,Mixed,a. Eng,N,N,N,N,0,78,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,1,1,1,0,0,1,1,0,1,1,1,1,9
UTXWF17CHI166,65.2,FR,0,Hispanic,b,N,N,N,N,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,1,1,0,0,1,1,1,7
UTXWF17CHI167,98,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,19,0,1,0,1,1,0,0,0,0,0,1,1,5
UTXWF17CHI170,76,FR,0,Hispanic,b,N,N,N,N,0,87,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,12,1,1,0,1,0,0,1,0,0,0,1,0,5
