"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"ACUP",73.39,"SO",0,"Hispanic","b","N","N","N","N","0",78,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6
"ACUP",89.53,"FR",0,"Hispanic","a. Sci","N","N","N","N","0",87,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,10
"ACUP",54.53,"SR",0,"Hispanic","","N","N","N","N","0",78,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6
"ACUP",70,"FR",0,"White","a. Sci","N","N","N","N","0",78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ACUP",81.89,"SR",0,"Black","b","N","N","N","N","0",87,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
"UTXW",91.2,"FR",0,"Mixed","b","N","N","N","N","0",78,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,16
"UTXW",89.7,"FR",0,"Mixed","b","N","N","N","N","0",78,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,8
"UTXW",87.5,"FR",0,"Black","b","N","N","N","N","0",78,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,12
"UTXW",96.9,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,12
"UTXW",96.2,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,16
"UTXW",85,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,15
"UTXW",82.1,"FR",0,"Hispanic","b","N","N","N","N","0",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,18
"UTXW",80.8,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,12
"UTXW",81.3,"FR",0,"Asian","b","N","N","N","N","0",87,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,13
"UTXW",81.6,"FR",0,"Hispanic","b","N","N","N","N","0",78,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,12
"UTXW",77.7,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,11
"UTXW",95.4,"FR",0,"Asian","b","N","N","N","N","0",87,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,10
"UTXW",90.4,"FR",0,"Hispanic","b","N","N","N","N","0",78,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,12
"UTXW",71.9,"FR",0,"Hispanic","b","N","N","N","N","0",87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4
"UTXW",84.1,"FR",0,"White","a. Sci","N","N","N","N","0",78,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,7
"UTXW",75.3,"FR",0,"White","a. Sci","N","N","N","N","0",87,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,16
"UTXW",97.6,"FR",0,"Asian","b","N","N","N","N","0",87,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,11
"UTXW",96,"FR",0,"Asian","a. Sci","N","N","N","N","0",87,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,15
"UTXW",78.4,"FR",0,"Hispanic","a. Sci","N","N","N","N","0",78,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8
"UTXW",87.1,"SO",0,"Hispanic","b","N","N","N","N","0",87,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11
"UTXW",80.9,"FR",0,"Asian","b","N","N","N","N","0",78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"UTXW",85.5,"FR",0,"White","b","N","N","N","N","0",78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6
"UTXW",60,"FR",0,"Asian","a. Eng","N","N","N","N","0",78,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,10
"UTXW",92.5,"FR",0,"Hispanic","b","N","N","N","N","0",78,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,9
"UTXW",74.5,"FR",0,"Hispanic","b","N","N","N","N","0",78,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,10
