"course_avg","school","class","gender","ethnicity","parent","grand","hrs_work","emp_on","emp_off","tx_birth","tx_hs","version","must"
95.4,"ACUP","FR","0","Hisp","Y","Y","11-19","N","N","Y","Y","v78",17
82.9,"ACUP","FR","0","White","Y","N","0","N","N","Y","Y","v87",1
96,"ACUP","FR","1","White","Y","N","0","N","N","Y","Y","v87",16
73,"ACUP","JR","1","Other","Y","Other","0","N","N","Y","Y","v78",14
85.7,"ACUP","FR","0","White","Y","N","0","N","N","Y","Y","v87",13
94.6,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v78",17
94.7,"ACUP","FR","0","White","Y","Other","0","N","N","Y","Y","v87",17
92.7,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",13
59.3,"ACUP","SO","1","White","Y","Y","11-19","N","Y","Y","Y","v78",9
73.4,"ACUP","SO","0","Hisp","N","N","0","N","N","Y","Y","v78",6
98.3,"ACUP","FR","1","Asian","Y","Y","0","N","N","Y","Y","v87",17
72.5,"ACUP","SO","1","Hisp","Y","N","0","N","N","Y","Y","v78",17
70.2,"ACUP","SO","1","White","N","N","0","N","N","Y","Y","v78",5
89.5,"ACUP","FR","0","Hisp","N","N","0","N","N","Y","Y","v87",10
81.2,"ACUP","SO","0","White","Y","Y","0","N","N","Y","Y","v78",11
73.5,"ACUP","FR","1","White","Y","Y","0","N","N","Y","Y","v78",14
65.3,"ACUP","JR","1","Hisp","Y","Y","1-10","N","N","Y","Y","v78",4
64.1,"ACUP","SO","0","Black","Y","Y","20-29","N","Y","Y","Y","v78",2
66.9,"ACUP","FR","1","White","N","N","0","N","N","Y","Y","v87",11
91.5,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v78",13
89.4,"ACUP","SR","1","Hisp","Y","Y","11-19","N","Y","Y","N","v78",11
83.4,"ACUP","FR","0","Black","Y","Y","0","N","N","Y","Y","v87",11
86.6,"ACUP","FR","0","Hisp","Y","N","0","N","N","Y","Y","v78",10
93.9,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",18
80.9,"ACUP","SO","1","Hisp","N","N","20-29","N","Y","Y","Y","v87",10
55.8,"ACUP","SO","1","White","Y","N","0","N","N","Y","Y","v78",6
90.1,"ACUP","SR","0","White","Y","Y","0","N","N","Y","Y","v87",10
60.2,"ACUP","SO","0","Hisp","Y","Y","0","N","N","Y","Y","v87",0
76,"ACUP","SO","1","White","Y","Y","11-19","Y","Y","Y","Y","v87",11
91.6,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v87",11
93.8,"ACUP","FR","0","White","Y","Other","0","N","N","Y","Y","v78",11
92.4,"ACUP","FR","0","Hisp","Y","N","0","N","N","Y","N","v87",16
72.4,"ACUP","SO","0","White","Y","Y","0","N","N","Y","N","v87",7
83.2,"ACUP","FR","0","Asian","N","N","11-19","N","N","Y","Y","v87",8
54.5,"ACUP","SR","0","Hisp","N","N","0","N","N","Y","N","v78",6
89.3,"ACUP","SR","1","White","Y","N","1-10","N","Y","Y","Y","v78",9
91.9,"ACUP","SR","1","White","Y","Y","11-19","N","Y","Y","Y","v87",9
75.2,"ACUP","FR","1","White","Y","Other","0","N","N","Y","Y","v78",6
78.6,"ACUP","FR","1","White","N","N","0","N","N","Y","Y","v87",9
90.8,"ACUP","SO","1","White","Y","Other","0","N","N","Y","Y","v78",9
85.2,"ACUP","FR","0","Black","Y","N","0","N","N","Y","Y","v78",1
91.3,"ACUP","SO","1","White","Y","Other","0","N","N","Y","Y","v87",8
78.8,"ACUP","FR","1","White","Y","N","0","N","N","Y","Y","v78",15
63.6,"ACUP","FR","1","Hisp","N","N","0","N","N","Y","Y","v78",13
76.1,"ACUP","SO","1","Hisp","Y","Y","11-19","N","Y","Y","Y","v78",7
92.6,"ACUP","JR","1","White","Y","Y","0","N","N","Y","N","v78",12
92.6,"ACUP","SR","1","White","Y","Y","0","N","N","Y","Y","v87",16
85.6,"ACUP","FR","0","White","Y","Other","11-19","N","Y","Y","Y","v78",8
70,"ACUP","FR","0","White","N","N","0","N","N","Y","Y","v78",2
73,"ACUP","FR","1","White","Y","Other","0","N","N","Y","Y","v87",5
94.6,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v78",14
92.8,"ACUP","SO","0","White","Y","Y","0","N","N","Y","Y","v78",4
56.3,"ACUP","SO","1","Hisp","N","N","0","N","N","Y","Y","v78",3
66.9,"ACUP","SO","1","Black","N","N","1-10","Y","N","N","Y","v78",4
