school,letter,course,class,gender,ethnic,major,tx_hs,grands,parents,emp_on,emp_off,version,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must
ACUP,D,60.2,SO,0,Hisp,b,Y,Y,Y,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,D,62.2,FR,0,Hisp,b,Y,N,Y,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,C,71.6,SO,0,Hisp,,Y,N,Y,Y,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,F,20.6,JR,0,"White,Hisp",a. Sci,N,N,N,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,D,46.1,JR,0,White,a. Sci,Y,Y,Y,N,Y,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,C,72.3,SO,0,Hisp,b,Y,N,N,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSA,F,31.3,JR,0,Hisp,a. Sci,Y,N,N,N,Y,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMU,W,NA,FR,1,Hisp,a. Sci,Y,N,N,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSU,D,67.4,JR,0,Mixed,a. Sci,Y,N,N,N,Y,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSU,W,NA,SR,0,"White,NatAm",a. Sci,Y,Y,Y,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSU,W,NA,SO,0,White,a. Sci,Y,DK,Y,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT,F,36.1,FR,0,Hisp,a. Sci,Y,Y,Y,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT,W,NA,SO,1,"Hisp,Black",a. Sci,Y,N,N,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT,W,NA,SO,0,Hisp,b,Y,n,N,N,Y,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNT,W,NA,FR,0,Hisp,a. Sci,Y,N,N,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACUP,B,82.9,FR,0,White,b,Y,N,Y,N,N,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ACUP,B,85.2,FR,0,Black,b,Y,N,Y,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACUP,C,70.8,FR,0,Hisp,c,Y,Y,Y,N,N,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TAMSA,F,44.2,SO,1,White,b,Y,DK,Y,N,Y,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TAMSA,C,76.7,JR,0,Black,a. Sci,Y,DK,Y,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
