"","1"
"(Intercept)",69.3116
"schoolTAMSA",-1.3896
"schoolTAMU",0
"schoolTSU",0
"schoolUNT",0
"schoolUTXW",4.8346
"classJR",0
"classSO",0
"classSR",3.0867
"gender0",0.2625
"gender1",0
"ethnicBlack",-1.3886
"ethnicHispanic",-2.7164
"ethnicMixed",0
"ethnicOther",0
"ethnicWhite",0.0687
"majormed",1.9629
"majorother",0
"majorstem",0
"grandN",-0.9243
"grandY",0
"parentN",-1.8036
"parentY",0
"emp_onY",0
"emp_offY",-1.5033
"hrs1-10",1.0308
"hrs11-19",-0.1483
"hrs20-29",-4.116
"hrs30-39",-0.2839
"hrs40+",-11.1646
"ver87",0
"must",1.0733
