"","1"
"(Intercept)",-0.295125302202869
"schoolACUP",0.215968460926936
"schoolTAMSA",-0.160156537639021
"schoolTAMU",-0.000721907848310182
"schoolTSU",-0.475479908418161
"schoolUNT",0
"schoolUTXW",1.38138210790904
"classJR",0.848171989187874
"classSO",0.17619477885617
"classSR",0.865062955310809
"gender0",0.139615193399336
"gender1",0
"ethnicBlack",-0.239438873107782
"ethnicHispanic",-0.690069725319928
"ethnicMixed",-0.111163905089562
"ethnicOther",-0.742272472997852
"ethnicWhite",0
"majormed",0.280048858427097
"majorother",0
"majorstem",0
"grandN",-0.170002239255846
"grandY",0.294792022450687
"parentN",-0.280324477887344
"parentY",0
"emp_onY",-0.195271971714745
"emp_offY",-0.198678010691109
"hrs1-10",0.659122926489317
"hrs11-19",0
"hrs20-29",-0.508444894071283
"hrs30-39",-0.116429053427188
"hrs40+",-3.67335335000261
"ver87",0.0746196509914022
"must",0.184214900132794
