"","1"
"(Intercept)",69.1354891703925
"schoolACUP",1.41921482820814
"schoolTAMSA",-1.35851840079926
"schoolTAMU",0
"schoolTSU",0
"schoolUNT",0
"schoolUTXW",5.19772965919055
"classJR",0
"classSO",0
"classSR",3.0963734207048
"gender0",0.415955712499837
"gender1",0
"ethnicBlack",-1.87443510829532
"ethnicHispanic",-2.88658446788609
"ethnicMixed",0
"ethnicOther",-0.238661603108673
"ethnicWhite",0
"majormed",1.9505713486125
"majorother",0
"majorstem",0
"grandN",-0.925035930960037
"grandY",0
"parentN",-1.8447536100674
"parentY",0
"emp_onY",-0.308790924528687
"emp_offY",-1.55961157357218
"hrs1-10",1.37245179198861
"hrs11-19",-0.243777737359265
"hrs20-29",-4.15087753113589
"hrs30-39",-0.495919335199602
"hrs40+",-11.5128743491827
"ver87",0
"must",1.07861746374355
