"school","course","class","gender","ethnic","major","tx_birth","tx_hs","emp_on","emp_off","hrs","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","gp_edu","old_must","mult","div","frac","log_exp","chem"
"ACUP",95.4,"FR","0","Hisp","med","Y","Y","N","N","11-19","78",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,17,1,"YY",14,3,5,3,3,3
"ACUP",82.9,"FR","0","White","med","Y","Y","N","N","0","87",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"NY",1,0,0,0,0,1
"ACUP",96,"FR","1","White","med","Y","Y","N","N","0","87",0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,16,1,"NY",12,1,4,3,5,3
"ACUP",73,"JR","1","Other","stem","Y","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,14,1,"N/A",10,3,5,4,1,1
"ACUP",85.7,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13,1,"NY",11,3,2,3,2,3
"ACUP",94.6,"FR","0","White","stem","Y","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,1,"YY",13,3,5,4,3,2
"ACUP",94.7,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17,1,"N/A",13,3,4,4,5,1
"ACUP",92.7,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13,1,"YY",11,3,3,3,2,2
"ACUP",59.3,"SO","1","White","stem","Y","Y","N","Y","11-19","78",0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,9,0,"YY",8,0,2,2,3,2
"ACUP",73.4,"SO","0","Hisp","med","Y","Y","N","N","0","78",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,"NN",5,3,0,1,2,0
"ACUP",98.3,"FR","1","Asian","med","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,17,1,"YY",13,3,4,4,3,3
"ACUP",72.5,"SO","1","Hisp","stem","Y","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,17,1,"NY",14,3,4,4,4,2
"ACUP",70.2,"SO","1","White","stem","Y","Y","N","N","0","78",0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,5,1,"NN",5,0,0,2,3,0
"ACUP",89.5,"FR","0","Hisp","stem","Y","Y","N","N","0","87",1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,10,1,"NN",8,3,1,2,3,1
"ACUP",81.2,"SO","0","White","med","Y","Y","N","N","0","78",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,11,1,"YY",8,3,2,4,2,0
"ACUP",73.5,"FR","1","White","other","Y","Y","N","N","0","78",1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,14,1,"YY",12,3,2,2,5,2
"ACUP",65.3,"JR","1","Hisp","stem","Y","Y","N","N","1-10","78",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,"YY",3,2,2,0,0,0
"ACUP",64.1,"SO","0","Black","med","Y","Y","N","Y","20-29","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"YY",0,0,1,1,0,0
"ACUP",66.9,"FR","1","White","stem","Y","Y","N","N","0","87",0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,11,0,"NN",8,2,1,4,2,2
"ACUP",91.5,"FR","0","White","med","Y","Y","N","N","0","78",1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,13,1,"YY",10,3,4,3,1,2
"ACUP",89.4,"SR","1","Hisp","stem","Y","N","N","Y","11-19","78",0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,11,1,"YY",8,2,3,3,1,2
"ACUP",83.4,"FR","0","Black","med","Y","Y","N","N","0","87",1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,11,1,"YY",8,2,2,4,1,2
"ACUP",86.6,"FR","0","Hisp","med","Y","Y","N","N","0","78",1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,10,1,"NY",7,1,2,4,1,2
"ACUP",93.9,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,18,1,"YY",14,3,4,4,4,3
"ACUP",80.9,"SO","1","Hisp","med","Y","Y","N","Y","20-29","87",1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,10,1,"NN",7,1,1,4,2,2
"ACUP",55.8,"SO","1","White","stem","Y","Y","N","N","0","78",1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,6,0,"NY",3,1,2,3,0,0
"ACUP",90.1,"SR","0","White","dual","Y","Y","N","N","0","87",1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,10,1,"YY",9,3,1,3,1,2
"ACUP",60.2,"SO","0","Hisp","med","Y","Y","N","N","0","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YY",0,0,0,0,0,0
"ACUP",76,"SO","1","White","stem","Y","Y","Y","Y","11-19","87",0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,11,1,"YY",7,2,2,4,1,2
"ACUP",91.6,"FR","0","White","med","Y","Y","N","N","0","87",0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11,1,"YY",8,1,2,4,2,2
"ACUP",93.8,"FR","0","White","med","Y","Y","N","N","0","78",0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,11,1,"N/A",9,1,3,3,4,0
"ACUP",92.4,"FR","0","Hisp","med","Y","N","N","N","0","87",1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,16,1,"NY",13,2,4,3,4,3
"ACUP",72.4,"SO","0","White","med","Y","N","N","N","0","87",0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,"YY",5,2,1,3,1,0
"ACUP",83.2,"FR","0","Asian","med","Y","Y","N","N","11-19","87",1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,8,1,"NN",6,3,3,1,1,0
"ACUP",54.5,"SR","0","Hisp","other","Y","N","N","N","0","78",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,"NN",2,1,2,2,1,0
"ACUP",89.3,"SR","1","White","stem","Y","Y","N","Y","1-10","78",0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,9,1,"NY",8,2,1,3,1,2
"ACUP",91.9,"SR","1","White","other","Y","Y","N","Y","11-19","87",1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,9,1,"YY",8,3,0,2,2,2
"ACUP",75.2,"FR","1","White","stem","Y","Y","N","N","0","78",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,6,1,"N/A",4,0,1,2,1,2
"ACUP",78.6,"FR","1","White","stem","Y","Y","N","N","0","87",1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,9,1,"NN",8,2,1,1,4,1
"ACUP",90.8,"SO","1","White","med","Y","Y","N","N","0","78",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,9,1,"N/A",5,1,3,3,0,2
"ACUP",85.2,"FR","0","Black","med","Y","Y","N","N","0","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"NY",1,1,0,0,0,0
"ACUP",91.3,"SO","1","White","stem","Y","Y","N","N","0","87",1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,8,1,"N/A",7,1,2,2,0,3
"ACUP",78.8,"FR","1","White","med","Y","Y","N","N","0","78",0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,15,1,"NY",11,2,3,4,3,3
"ACUP",63.6,"FR","1","Hisp","med","Y","Y","N","N","0","78",1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,13,0,"NN",9,1,4,4,1,3
"ACUP",76.1,"SO","1","Hisp","stem","Y","Y","N","Y","11-19","78",0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,1,"YY",6,2,2,0,0,3
"ACUP",92.6,"JR","1","White","dual","Y","N","N","N","0","78",0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,12,1,"YY",9,2,3,3,2,2
"ACUP",92.6,"SR","1","White","stem","Y","Y","N","N","0","87",1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,16,1,"YY",14,2,4,3,4,3
"ACUP",85.6,"FR","0","White","med","Y","Y","N","Y","11-19","78",0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,8,1,"N/A",5,0,3,2,3,0
"ACUP",70,"FR","0","White","stem","Y","Y","N","N","0","78",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"NN",2,1,1,0,0,0
"ACUP",73,"FR","1","White","med","Y","Y","N","N","0","87",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,1,"N/A",4,2,0,2,1,0
"ACUP",94.6,"FR","0","White","med","Y","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,14,1,"YY",10,3,5,4,1,1
"ACUP",92.8,"SO","0","White","stem","Y","Y","N","N","0","78",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,"YY",3,0,0,1,3,0
"ACUP",56.3,"SO","1","Hisp","stem","Y","Y","N","N","0","78",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"NN",2,0,1,1,1,0
"ACUP",66.9,"SO","1","Black","dual","N","Y","Y","N","1-10","78",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,"NN",3,0,0,1,3,0
"ACUP",96.5,"FR","1","White","med","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,17,1,"NY",13,3,4,4,5,1
"ACUP",87.2,"FR","0","White","stem","Y","Y","N","N","0","78",1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,14,1,"YY",12,3,3,3,2,3
"ACUP",85.8,"FR","0","White","med","Y","Y","N","N","0","87",1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,"YY",14,3,2,4,5,3
"ACUP",95.2,"FR","0","White","med","Y","Y","N","N","0","78",1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,15,1,"YY",12,3,3,3,3,3
"ACUP",68.5,"FR","1","Hisp","stem","Y","Y","Y","Y","11-19","87",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,7,0,"NY",5,0,2,1,1,3
"ACUP",81,"FR","1","Asian","med","Y","Y","N","N","0","87",0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,1,"NY",4,1,2,1,1,0
"ACUP",85.4,"FR","0","White","med","Y","Y","N","N","0","87",1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9,1,"YY",7,2,4,0,1,2
"ACUP",70.8,"FR","0","Hisp","other","Y","Y","N","N","0","78",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"YY",1,1,0,0,0,0
"ACUP",95.5,"SO","1","White","med","Y","Y","N","N","0","87",1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,12,1,"NY",11,3,2,2,3,2
"ACUP",86.7,"FR","1","White","stem","Y","Y","N","N","0","78",1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,15,1,"N/A",11,3,5,4,1,2
"ACUP",78,"SO","1","White","med","Y","Y","N","N","0","87",1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,1,"YY",7,3,1,2,1,0
