"school","letter","final_exam","course","class","gender","ethnic","major","tx_birth","tx_hs","zip","hs_chem","math_comp","curr_math","grand","parent","emp_on","emp_off","hrs","chem1","chem2","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","Q1A","Q1C","Q2A","Q2C","Q3A","Q3C","Q4A","Q4C","Q5A","Q5C","Q6A","Q6C","comm","pass","alg","conc","gp_edu"
"ACUP","A",94,95.4,"FR",0,"Hisp","med","Y","Y","76","PAP AP","56","None","Y","Y","N","N","11-19",1,"Y",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,17,1,1,1,1,1,1,1,0,1,1,1,1,11,1,6,5,"YY"
"ACUP","B",72,82.9,"FR",0,"White","med","Y","Y","77","PAP","4","None","N","Y","N","N","0",1,"Y",87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,9,1,4,5,"NY"
"ACUP","A",96,96,"FR",1,"White","med","Y","Y","79","AP","56","None","N","Y","N","N","0",1,"Y",87,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6,"NY"
"ACUP","C",66,73,"JR",1,"Other","stem","Y","Y","75","Reg","7","7","Other","Y","N","N","0",1,"N",78,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,14,1,1,1,1,1,1,1,0,0,1,1,1,10,1,5,5,"N/A"
"ACUP","B",82,85.7,"FR",0,"White","med","Y","Y","75","PAP","6","None","N","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,13,1,1,0,1,1,0,1,0,1,1,1,0,8,1,5,3,"NY"
"ACUP","A",94,94.6,"FR",0,"White","stem","Y","Y","77","Reg","456","None","Y","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,1,1,1,1,0,1,1,1,1,1,1,1,11,1,5,6,"YY"
"ACUP","A",96,94.7,"FR",0,"White","med","Y","Y","78","Reg","56","None","Other","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,17,1,1,1,1,1,0,1,1,1,1,1,0,10,1,6,4,"N/A"
"ACUP","A",86,92.7,"FR",0,"White","med","Y","Y","79","Reg","34","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,13,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5,"YY"
"ACUP","F",44,59.3,"SO",1,"White","stem","Y","Y","76","PAP","56","7","Y","Y","N","Y","11-19",1,"N",78,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,9,0,1,1,0,1,0,0,0,0,0,0,1,4,0,2,2,"YY"
"ACUP","C",69,73.4,"SO",0,"Hisp","med","Y","Y","76","Reg","5","None","N","N","N","N","0",1,"Y",78,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,1,1,1,0,1,0,1,0,1,0,0,1,7,1,5,2,"NN"
"ACUP","A",94,98.3,"FR",1,"Asian","med","Y","Y","75","PAP AP ","356","None","Y","Y","N","N","0",1,"Y",87,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,12,1,6,6,"YY"
"ACUP","C",62,72.5,"SO",1,"Hisp","stem","Y","Y","79","Reg","345","7","N","Y","N","N","0",1,"Y",78,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,17,0,1,0,1,0,0,1,0,0,1,0,0,4,1,1,3,"NY"
"ACUP","C",72,70.2,"SO",1,"White","stem","Y","Y","77","Reg","4","5","N","N","N","N","0",1,"Y",78,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,5,0,1,1,0,1,0,1,1,0,1,1,0,7,1,4,3,"NN"
"ACUP","A",90,89.5,"FR",0,"Hisp","stem","Y","Y","79","PAP","6","None","N","N","N","N","0",1,"Y",87,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,10,1,1,1,1,1,0,1,1,1,1,1,1,11,1,6,5,"NN"
